name,country,population,aliases
Liège,BE,195278,Léck|Lüttich|列日
Leuven,BE,101032,鲁汶
Gent,BE,265086,根特
Charleroi,BE,200132,Carleroé|沙勒罗瓦
Brussels,BE,1019022,An Bhruiséil|Bréissel|Brüksel|Brüssel|Brüsszel|布魯塞爾|布鲁塞尔|比律悉
Brugge,BE,118509,Brügge|布吕赫|布鲁日历史中心
Antwerpen,BE,529247,Antuérpia|Antwérp|Anvérse|Ôn-thi̍t-ví-phú|安特卫普|安特衞普
Ouahigouya,BF,124587,瓦希古亞
Ouagadougou,BF,2415266,Uagadugú|瓦加杜古
Koudougou,BF,160239,库杜古
Kaya,BF,121970,卡亞
Bobo-Dioulasso,BF,904920,博博迪乌拉索
Banfora,BF,117452,邦福拉
Varna,BG,318737,Várna|瓦爾納
Stara Zagora,BG,121582,Stará Zagora|舊扎戈拉
Sofia,BG,1152556,Sofía|Szófia|Sóifia|索菲亞
Ruse,BG,121168,Roussé|鲁塞
Plovdiv,BG,329489,Plóvdiv|普罗夫迪夫
Burgas,BG,210646,布爾加斯
Madīnat Ḩamad,BH,133550,哈馬德鎮|哈马德镇
Al Muharraq,BH,176583,
Manama,BH,147074,Manáma|麥納瑪|麦纳麦
Ar Rifā‘,BH,115495,里法
Bujumbura,BI,769317,Bujumbúra|布松布拉|布琼布拉
Porto-Novo,BJ,264320,新港|波圖奴埠|波多诺伏
Parakou,BJ,255478,帕拉庫
Godomè,BJ,253262,
Abomey-Calavi,BJ,385755,
Abomey,BJ,117824,Palácios Reais de Abomei
Tarija,BO,159269,塔里哈
Sucre,BO,224838,Sucre történelmi óvárosa|Súkre|苏克雷|蘇克雷
Santa Cruz de la Sierra,BO,1831434,
Sacaba,BO,180726,萨卡瓦|薩卡瓦
Quillacollo,BO,172405,基亞科約
Potosí,BO,141251,波托西
Oruro,BO,208684,奥鲁罗
Cochabamba,BO,841276,科恰班巴
Vitória de Santo Antão,BR,134084,Vitória
Timon,BR,174465,
Teresina,BR,871126,特雷西納
Sobral,BR,203023,Januária de Acaracu
São Luís,BR,917237,Saun Luís|São Luís do Maranhão|圣路易斯
São Lourenço da Mata,BR,111249,
São José de Ribamar,BR,244579,São-José-do-Ribamar
São Gonçalo do Amarante,BR,115838,
Santa Rita,BR,149910,
Santarém,BR,189047,Santarém i Brasil|聖塔倫
Recife,BR,1653461,Mauricéa|李斯腓|累西腓
Santana,BR,107618,
